,iteration,arm,result,total,best_handle_probability,reward
0,0,1,поражение,0,1,0
1,1,2,поражение,0,0,0
2,2,3,победа,1,0,1
3,3,3,победа,2,0,1
4,4,3,победа,3,0,1
5,5,3,поражение,3,0,0
6,6,3,поражение,3,0,0
7,7,3,поражение,3,0,0
8,8,3,поражение,3,0,0
9,9,3,поражение,3,0,0
10,10,1,поражение,3,1,0
11,11,2,победа,4,0,1
12,12,2,победа,5,0,1
13,13,2,победа,6,0,1
14,14,2,победа,7,0,1
15,15,2,победа,8,0,1
16,16,2,победа,9,0,1
17,17,2,поражение,9,0,0
18,18,2,поражение,9,0,0
19,19,3,победа,10,0,1
20,20,3,победа,11,0,1
21,21,3,поражение,11,0,0
22,22,3,поражение,11,0,0
23,23,3,поражение,11,0,0
24,24,2,победа,12,0,1
25,25,2,поражение,12,0,0
26,26,2,поражение,12,0,0
27,27,3,поражение,12,0,0
28,28,3,победа,13,0,1
29,29,3,поражение,13,0,0
