,iteration,arm,result,total,reward
0,0,2,поражение,0,0
1,1,1,поражение,0,0
2,2,3,победа,1,1
3,3,3,победа,2,1
4,4,3,победа,3,1
5,5,3,победа,4,1
6,6,3,поражение,4,0
7,7,3,победа,5,1
8,8,3,поражение,5,0
9,9,3,победа,6,1
10,10,3,поражение,6,0
11,11,3,поражение,6,0
12,12,3,победа,7,1
13,13,3,поражение,7,0
14,14,3,поражение,7,0
15,15,3,поражение,7,0
16,16,3,поражение,7,0
17,17,3,поражение,7,0
18,18,3,поражение,7,0
19,19,3,поражение,7,0
20,20,3,поражение,7,0
21,21,3,поражение,7,0
22,22,3,поражение,7,0
23,23,3,победа,8,1
24,24,3,победа,9,1
25,25,3,поражение,9,0
26,26,3,победа,10,1
27,27,3,поражение,10,0
28,28,3,поражение,10,0
29,29,3,победа,11,1
